,Author,first,ID,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
182,Kishore,Dileep,57209908806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
183,Klitgord,Niels,9238332900,0,0,0,0,0,0,0,3,1,1,3,3,4,2,4,4,0,3,2,2,1,2,0,0
184,Koga,Yusuke,57221342678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
185,Labadorf,Adam,35622079600,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,4,6,2,3,2,3,4
186,Lee,Soohyun,57208764474,0,0,0,0,0,0,1,1,2,0,2,2,2,0,1,0,1,5,1,5,4,3,8,9
187,Luo,Lingqi,56486642400,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,5,1,1,1,0,2,0
188,Maxwell,Evan,57217799116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,1,0,5,8
189,Mazumdar,Varun,25958237100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,1,0,0,0,0,0
190,Melia,Tisha,56291795100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,2,2
191,Miller,Rebekah,57215188852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
192,Moyer,Devlin,57218260750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
193,Nariai,Naoki,24485139800,0,0,0,0,0,0,1,2,0,2,2,0,0,0,1,5,6,6,3,6,0,3,1,1
194,Pacheco,Alan,57203824832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,5
195,Pandya,Chetanya,54380508100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,2
196,Panitch,Rebecca,57221488554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,Parker,Stephen,11839007200,0,0,0,0,0,0,1,0,2,2,1,1,4,6,3,2,3,4,2,5,7,6,5,6
198,Patel,Devanshi,57202880904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2
199,Pavel,Ana,57201116898,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,0,0,4,3,4,15,13,20
